name,unit,status,error,fields,obs
TIPS real 30Y,yield_pct,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [OPEN_YLD]), (TS.Int",OPEN_YLD,0
TIPS real 30Y,yield_pct,error,No valid data from any field set,,0
TU 2Y Treasury Fut,futures_price,ok,,TRDPRC_1,272
FV 5Y Treasury Fut,futures_price,ok,,TRDPRC_1,273
TY 10Y Treasury Fut,futures_price,ok,,TRDPRC_1,274
US 30Y Treasury Fut,futures_price,ok,,TRDPRC_1,271
DXY,index,ok,,TRDPRC_1,270
EURUSD,fx,ok,,MID_PRICE,288
USDJPY,fx_jpy,ok,,MID_PRICE,288
GBPUSD,fx,ok,,MID_PRICE,288
AUDUSD,fx,ok,,MID_PRICE,288
USDCNY,fx,ok,,MID_PRICE,106
USDCNH,fx,ok,,MID_PRICE,288
USD/CNY fixing,fixing_fx,error,'UniverseContainer' object is not subscriptable,TRDPRC_1,0
USD/CNY fixing,fixing_fx,error,'UniverseContainer' object is not subscriptable,MID_PRICE,0
USD/CNY fixing,fixing_fx,error,'UniverseContainer' object is not subscriptable,"BID,ASK",0
USD/CNY fixing,fixing_fx,error,'UniverseContainer' object is not subscriptable,BID,0
USD/CNY fixing,fixing_fx,error,'UniverseContainer' object is not subscriptable,ASK,0
USD/CNY fixing,fixing_fx,error,No valid data from any field set,,0
Brent crude,commodity,ok,,TRDPRC_1,257
WTI crude,commodity,ok,,TRDPRC_1,276
Gold,commodity,error,'UniverseContainer' object is not subscriptable,TRDPRC_1,0
Gold,commodity,ok,,MID_PRICE,277
Copper,commodity,ok,,TRDPRC_1,2
